"stationname","month","year","aver_co","aver_o3","aver_pm10","aver_pm25","avg_temp","avg_wind"
Biser,7.0,2018.0,,,13.440251572327044,10.352201257861635,,
Biser,7.0,2019.0,,,17.521676300578033,10.397398843930636,,
Biser,8.0,2018.0,,,19.205442176870747,14.004081632653062,,
Biser,8.0,2019.0,,,18.873076923076923,11.411538461538461,,
Biser,9.0,2018.0,,,18.74861111111111,13.113888888888889,,
Biser,9.0,2019.0,,,,,,
Biser,10.0,2018.0,,,32.84139784946237,21.28494623655914,,
Biser,10.0,2019.0,,,48.625,28.876893939393938,,
Biser,11.0,2018.0,,,57.502793296089386,37.80865921787709,,
Biser,11.0,2019.0,,,30.21476510067114,16.828859060402685,,
Biser,12.0,2018.0,,,103.56720430107526,66.07123655913979,,
Bitola1,1.0,2015.0,3.08974358974359,38.333333333333336,77.73333333333333,,6.412446808510637,2.0096276595744684
Bitola1,1.0,2016.0,,,58.13,,-10.82,0.46
Bitola1,1.0,2017.0,1.0629470672389127,49.136298421807744,87.12357954545455,,-6.078151260504202,1.726890756302521
Bitola1,1.0,2018.0,,32.562952243125906,69.91027496382056,,,
Bitola1,1.0,2019.0,2.243279569892473,42.14381720430107,88.79301075268818,,,
Bitola1,2.0,2015.0,1.2148626817447497,51.064620355411954,66.33333333333333,,4.940929487179487,1.9909935897435902
Bitola1,2.0,2017.0,0.6976744186046512,44.97519379844961,69.73953488372094,,2.2424698795180724,1.6641566265060241
Bitola1,2.0,2018.0,0.6666666666666666,45.70616113744076,30.677725118483412,,,
Bitola1,2.0,2019.0,1.053651266766021,43.31296572280179,53.7585692995529,,,
Bitola1,3.0,2015.0,0.3308714918759232,60.763663220088624,37.10339734121123,,7.702301943198805,2.0755904334828106
Bitola1,3.0,2017.0,0.21910112359550563,57.20224719101124,42.787921348314605,,6.155102040816327,2.0421768707482992
Bitola1,3.0,2018.0,0.9192073170731707,59.287729196050776,24.84180790960452,,,
